"","id_outbreak","Year","icd10n","icd103n","icd104n","icd10c","icd103c","icd104c","Disease","Definition","Country","iso2","iso3","unsd_region","unsd_subregion","who_region","DONs"
"1","2025AFGA000","2025","Intestinal infectious diseases","Cholera","Classical cholera","A00-A09","A00","A000","Cholera","Intestinal infection due to Vibrio cholerae","Afghanistan","AF","AFG","Asia","Southern Asia","Eastern Mediterranean Region","DON2928"
"2","2025AFGJ090","2025","Influenza and pneumonia","Influenza due to identified zoonotic or pandemic influenza virus","Influenza due to identified zoonotic or pandemic influenza virus","J09-J18","J09","J090","Influenza due to identified zoonotic or pandemic influenza virus","Influenza, caused by influenza virus strains of special epidemiological importance with an animal-human or inter-human transmission.","Afghanistan","AF","AFG","Asia","Southern Asia","Eastern Mediterranean Region","DON2938"
"3","2025AGOA000","2025","Intestinal infectious diseases","Cholera","Classical cholera","A00-A09","A00","A000","Cholera","Intestinal infection due to Vibrio cholerae","Angola","AO","AGO","Africa","Sub-Saharan Africa","African Region","DON2928, DON2912"
"4","2025ALBJ090","2025","Influenza and pneumonia","Influenza due to identified zoonotic or pandemic influenza virus","Influenza due to identified zoonotic or pandemic influenza virus","J09-J18","J09","J090","Influenza due to identified zoonotic or pandemic influenza virus","Influenza, caused by influenza virus strains of special epidemiological importance with an animal-human or inter-human transmission.","Albania","AL","ALB","Europe","Southern Europe","European Region","DON2938"
"5","2025ALBU071","2025","Provisional assignment of new diseases of uncertain etiology or emergency use","Emergency use of U07","COVID-19, virus identified","U00-U49","U07","U071","COVID-19","Infectious disease caused by the SARS-CoV-2 virus.","Albania","AL","ALB","Europe","Southern Europe","European Region","Coronavirus dashboard"
"6","2025AREB04","2025","Viral infections characterized by skin and mucous membrane lesions","Monkeypox","Monkeypox","B00-B09","B04","B04","Monkeypox","A disease caused by an infection with monkeypox virus. In the first phase, this disease is characterised by lymphadenopathy, fever, headache, or malaise","United Arab Emirates","AE","ARE","Asia","Western Asia","Eastern Mediterranean Region","DON2936"
"7","2025AREJ090","2025","Influenza and pneumonia","Influenza due to identified zoonotic or pandemic influenza virus","Influenza due to identified zoonotic or pandemic influenza virus","J09-J18","J09","J090","Influenza due to identified zoonotic or pandemic influenza virus","Influenza, caused by influenza virus strains of special epidemiological importance with an animal-human or inter-human transmission.","United Arab Emirates","AE","ARE","Asia","Western Asia","Eastern Mediterranean Region","DON2938"
"8","2025ARGB05","2025","Viral infections characterized by skin and mucous membrane lesions","Measles","Measles","B00-B09","B05","B05","Measles","A disease of the respiratory system, caused by an infection with Morbillivirus. This disease is characterised by a blotchy rash, fever, cough, conjunctivitis, or malaise. This disease may also present with tiny white spots with bluish-white centres inside the mouth. Transmission is by inhalation of infected respiratory secretions, airborne transmission or direct contact. Confirmation is by detection of Morbillivirus RNA or measles-specific IgM antibodies.","Argentina","AR","ARG","Americas","Latin America and the Caribbean","Region of the Americas","DON2916"
"9","2025ARGJ090","2025","Influenza and pneumonia","Influenza due to identified zoonotic or pandemic influenza virus","Influenza due to identified zoonotic or pandemic influenza virus","J09-J18","J09","J090","Influenza due to identified zoonotic or pandemic influenza virus","Influenza, caused by influenza virus strains of special epidemiological importance with an animal-human or inter-human transmission.","Argentina","AR","ARG","Americas","Latin America and the Caribbean","Region of the Americas","DON2938"
"10","2025ARGU071","2025","Provisional assignment of new diseases of uncertain etiology or emergency use","Emergency use of U07","COVID-19, virus identified","U00-U49","U07","U071","COVID-19","Infectious disease caused by the SARS-CoV-2 virus.","Argentina","AR","ARG","Americas","Latin America and the Caribbean","Region of the Americas","Coronavirus dashboard"
"11","2025ARMJ090","2025","Influenza and pneumonia","Influenza due to identified zoonotic or pandemic influenza virus","Influenza due to identified zoonotic or pandemic influenza virus","J09-J18","J09","J090","Influenza due to identified zoonotic or pandemic influenza virus","Influenza, caused by influenza virus strains of special epidemiological importance with an animal-human or inter-human transmission.","Armenia","AM","ARM","Asia","Western Asia","European Region","DON2938"
"12","2025ARMU071","2025","Provisional assignment of new diseases of uncertain etiology or emergency use","Emergency use of U07","COVID-19, virus identified","U00-U49","U07","U071","COVID-19","Infectious disease caused by the SARS-CoV-2 virus.","Armenia","AM","ARM","Asia","Western Asia","European Region","Coronavirus dashboard"
"13","2025ATGA920","2025","Arthropod-borne viral fevers and viral haemorrhagic fevers","Other mosquito-borne viral fevers","Chikungunya virus disease","A92-A99","A92","A920","Chikungunya mosquito-borne viral fever","Individuals are infected with the virus through a mosquito bite from Aedes mosquitos (Aedes albopictus and A. aegypti). Concomitant fever and arthalgia are a common specific sign although infection can present with non-specific symptoms that can be confused with Dengue including headache, rash and myalgia. Free virions are transported via the blood to the liver (hepatocyte apoptosis), muscle, joints and secondary lymphoid organs (adenopathy), wherein the virus replicates. Viral replication is associated with an infiltration of mononuclear cells including macrophages, which underlies the debilitating pain experienced in the muscles and joints, which can persist for months to years post infection. A small percentage of infected individuals remain asymptomatic, this is more common in patients under 25 years old. Age over 40 years is a risk factor for chronicity of symptoms. Encephalitis, Guillain-Barre sundrome and arthritis are rare complications of infection with Chikungya virus.","Antigua and Barbuda","AG","ATG","Americas","Latin America and the Caribbean","Region of the Americas","DON2931"
"14","2025AUSA920","2025","Arthropod-borne viral fevers and viral haemorrhagic fevers","Other mosquito-borne viral fevers","Chikungunya virus disease","A92-A99","A92","A920","Chikungunya mosquito-borne viral fever","Individuals are infected with the virus through a mosquito bite from Aedes mosquitos (Aedes albopictus and A. aegypti). Concomitant fever and arthalgia are a common specific sign although infection can present with non-specific symptoms that can be confused with Dengue including headache, rash and myalgia. Free virions are transported via the blood to the liver (hepatocyte apoptosis), muscle, joints and secondary lymphoid organs (adenopathy), wherein the virus replicates. Viral replication is associated with an infiltration of mononuclear cells including macrophages, which underlies the debilitating pain experienced in the muscles and joints, which can persist for months to years post infection. A small percentage of infected individuals remain asymptomatic, this is more common in patients under 25 years old. Age over 40 years is a risk factor for chronicity of symptoms. Encephalitis, Guillain-Barre sundrome and arthritis are rare complications of infection with Chikungya virus.","Australia","AU","AUS","Oceania","Australia and New Zealand","Western Pacific Region","DON2931"
"15","2025AUSB04","2025","Viral infections characterized by skin and mucous membrane lesions","Monkeypox","Monkeypox","B00-B09","B04","B04","Monkeypox","A disease caused by an infection with monkeypox virus. In the first phase, this disease is characterised by lymphadenopathy, fever, headache, or malaise","Australia","AU","AUS","Oceania","Australia and New Zealand","Western Pacific Region","DON2936"
"16","2025AUSJ090","2025","Influenza and pneumonia","Influenza due to identified zoonotic or pandemic influenza virus","Influenza due to identified zoonotic or pandemic influenza virus","J09-J18","J09","J090","Influenza due to identified zoonotic or pandemic influenza virus","Influenza, caused by influenza virus strains of special epidemiological importance with an animal-human or inter-human transmission.","Australia","AU","AUS","Oceania","Australia and New Zealand","Western Pacific Region","DON2938"
"17","2025AUTJ090","2025","Influenza and pneumonia","Influenza due to identified zoonotic or pandemic influenza virus","Influenza due to identified zoonotic or pandemic influenza virus","J09-J18","J09","J090","Influenza due to identified zoonotic or pandemic influenza virus","Influenza, caused by influenza virus strains of special epidemiological importance with an animal-human or inter-human transmission.","Austria","AT","AUT","Europe","Western Europe","European Region","DON2938"
"18","2025AUTU071","2025","Provisional assignment of new diseases of uncertain etiology or emergency use","Emergency use of U07","COVID-19, virus identified","U00-U49","U07","U071","COVID-19","Infectious disease caused by the SARS-CoV-2 virus.","Austria","AT","AUT","Europe","Western Europe","European Region","Coronavirus dashboard"
"19","2025AZEJ090","2025","Influenza and pneumonia","Influenza due to identified zoonotic or pandemic influenza virus","Influenza due to identified zoonotic or pandemic influenza virus","J09-J18","J09","J090","Influenza due to identified zoonotic or pandemic influenza virus","Influenza, caused by influenza virus strains of special epidemiological importance with an animal-human or inter-human transmission.","Azerbaijan","AZ","AZE","Asia","Western Asia","European Region","DON2938"
"20","2025AZEU071","2025","Provisional assignment of new diseases of uncertain etiology or emergency use","Emergency use of U07","COVID-19, virus identified","U00-U49","U07","U071","COVID-19","Infectious disease caused by the SARS-CoV-2 virus.","Azerbaijan","AZ","AZE","Asia","Western Asia","European Region","Coronavirus dashboard"
"21","2025BDIA000","2025","Intestinal infectious diseases","Cholera","Classical cholera","A00-A09","A00","A000","Cholera","Intestinal infection due to Vibrio cholerae","Burundi","BI","BDI","Africa","Sub-Saharan Africa","African Region","DON2928"
"22","2025BDIB04","2025","Viral infections characterized by skin and mucous membrane lesions","Monkeypox","Monkeypox","B00-B09","B04","B04","Monkeypox","A disease caused by an infection with monkeypox virus. In the first phase, this disease is characterised by lymphadenopathy, fever, headache, or malaise","Burundi","BI","BDI","Africa","Sub-Saharan Africa","African Region","DON2936"
"23","2025BELB04","2025","Viral infections characterized by skin and mucous membrane lesions","Monkeypox","Monkeypox","B00-B09","B04","B04","Monkeypox","A disease caused by an infection with monkeypox virus. In the first phase, this disease is characterised by lymphadenopathy, fever, headache, or malaise","Belgium","BE","BEL","Europe","Western Europe","European Region","DON2936"
"24","2025BELJ090","2025","Influenza and pneumonia","Influenza due to identified zoonotic or pandemic influenza virus","Influenza due to identified zoonotic or pandemic influenza virus","J09-J18","J09","J090","Influenza due to identified zoonotic or pandemic influenza virus","Influenza, caused by influenza virus strains of special epidemiological importance with an animal-human or inter-human transmission.","Belgium","BE","BEL","Europe","Western Europe","European Region","DON2938"
"25","2025BELU071","2025","Provisional assignment of new diseases of uncertain etiology or emergency use","Emergency use of U07","COVID-19, virus identified","U00-U49","U07","U071","COVID-19","Infectious disease caused by the SARS-CoV-2 virus.","Belgium","BE","BEL","Europe","Western Europe","European Region","Coronavirus dashboard"
"26","2025BFAU071","2025","Provisional assignment of new diseases of uncertain etiology or emergency use","Emergency use of U07","COVID-19, virus identified","U00-U49","U07","U071","COVID-19","Infectious disease caused by the SARS-CoV-2 virus.","Burkina Faso","BF","BFA","Africa","Sub-Saharan Africa","African Region","Coronavirus dashboard"
"27","2025BGDA000","2025","Intestinal infectious diseases","Cholera","Classical cholera","A00-A09","A00","A000","Cholera","Intestinal infection due to Vibrio cholerae","Bangladesh","BD","BGD","Asia","Southern Asia","South-East Asia Region","DON2928"
"28","2025BGDA920","2025","Arthropod-borne viral fevers and viral haemorrhagic fevers","Other mosquito-borne viral fevers","Chikungunya virus disease","A92-A99","A92","A920","Chikungunya mosquito-borne viral fever","Individuals are infected with the virus through a mosquito bite from Aedes mosquitos (Aedes albopictus and A. aegypti). Concomitant fever and arthalgia are a common specific sign although infection can present with non-specific symptoms that can be confused with Dengue including headache, rash and myalgia. Free virions are transported via the blood to the liver (hepatocyte apoptosis), muscle, joints and secondary lymphoid organs (adenopathy), wherein the virus replicates. Viral replication is associated with an infiltration of mononuclear cells including macrophages, which underlies the debilitating pain experienced in the muscles and joints, which can persist for months to years post infection. A small percentage of infected individuals remain asymptomatic, this is more common in patients under 25 years old. Age over 40 years is a risk factor for chronicity of symptoms. Encephalitis, Guillain-Barre sundrome and arthritis are rare complications of infection with Chikungya virus.","Bangladesh","BD","BGD","Asia","Southern Asia","South-East Asia Region","DON2931"
"29","2025BGDB348","2025","Other viral diseases","Viral infection of unspecified site","Other viral infections of unspecified site","B25-B34","B34","B348","Unspecified viral disease",NA,"Bangladesh","BD","BGD","Asia","Southern Asia","South-East Asia Region","DON2930"
"30","2025BGDJ090","2025","Influenza and pneumonia","Influenza due to identified zoonotic or pandemic influenza virus","Influenza due to identified zoonotic or pandemic influenza virus","J09-J18","J09","J090","Influenza due to identified zoonotic or pandemic influenza virus","Influenza, caused by influenza virus strains of special epidemiological importance with an animal-human or inter-human transmission.","Bangladesh","BD","BGD","Asia","Southern Asia","South-East Asia Region","DON2938"
"31","2025BGDU071","2025","Provisional assignment of new diseases of uncertain etiology or emergency use","Emergency use of U07","COVID-19, virus identified","U00-U49","U07","U071","COVID-19","Infectious disease caused by the SARS-CoV-2 virus.","Bangladesh","BD","BGD","Asia","Southern Asia","South-East Asia Region","Coronavirus dashboard"
"32","2025BGRU071","2025","Provisional assignment of new diseases of uncertain etiology or emergency use","Emergency use of U07","COVID-19, virus identified","U00-U49","U07","U071","COVID-19","Infectious disease caused by the SARS-CoV-2 virus.","Bulgaria","BG","BGR","Europe","Eastern Europe","European Region","Coronavirus dashboard"
"33","2025BHSA920","2025","Arthropod-borne viral fevers and viral haemorrhagic fevers","Other mosquito-borne viral fevers","Chikungunya virus disease","A92-A99","A92","A920","Chikungunya mosquito-borne viral fever","Individuals are infected with the virus through a mosquito bite from Aedes mosquitos (Aedes albopictus and A. aegypti). Concomitant fever and arthalgia are a common specific sign although infection can present with non-specific symptoms that can be confused with Dengue including headache, rash and myalgia. Free virions are transported via the blood to the liver (hepatocyte apoptosis), muscle, joints and secondary lymphoid organs (adenopathy), wherein the virus replicates. Viral replication is associated with an infiltration of mononuclear cells including macrophages, which underlies the debilitating pain experienced in the muscles and joints, which can persist for months to years post infection. A small percentage of infected individuals remain asymptomatic, this is more common in patients under 25 years old. Age over 40 years is a risk factor for chronicity of symptoms. Encephalitis, Guillain-Barre sundrome and arthritis are rare complications of infection with Chikungya virus.","Bahamas","BS","BHS","Americas","Latin America and the Caribbean","Region of the Americas","DON2931"
"34","2025BIHU071","2025","Provisional assignment of new diseases of uncertain etiology or emergency use","Emergency use of U07","COVID-19, virus identified","U00-U49","U07","U071","COVID-19","Infectious disease caused by the SARS-CoV-2 virus.","Bosnia and Herzegovina","BA","BIH","Europe","Southern Europe","European Region","Coronavirus dashboard"
"35","2025BLRJ090","2025","Influenza and pneumonia","Influenza due to identified zoonotic or pandemic influenza virus","Influenza due to identified zoonotic or pandemic influenza virus","J09-J18","J09","J090","Influenza due to identified zoonotic or pandemic influenza virus","Influenza, caused by influenza virus strains of special epidemiological importance with an animal-human or inter-human transmission.","Belarus","BY","BLR","Europe","Eastern Europe","European Region","DON2938"
"36","2025BLRU071","2025","Provisional assignment of new diseases of uncertain etiology or emergency use","Emergency use of U07","COVID-19, virus identified","U00-U49","U07","U071","COVID-19","Infectious disease caused by the SARS-CoV-2 virus.","Belarus","BY","BLR","Europe","Eastern Europe","European Region","Coronavirus dashboard"
"37","2025BLZA920","2025","Arthropod-borne viral fevers and viral haemorrhagic fevers","Other mosquito-borne viral fevers","Chikungunya virus disease","A92-A99","A92","A920","Chikungunya mosquito-borne viral fever","Individuals are infected with the virus through a mosquito bite from Aedes mosquitos (Aedes albopictus and A. aegypti). Concomitant fever and arthalgia are a common specific sign although infection can present with non-specific symptoms that can be confused with Dengue including headache, rash and myalgia. Free virions are transported via the blood to the liver (hepatocyte apoptosis), muscle, joints and secondary lymphoid organs (adenopathy), wherein the virus replicates. Viral replication is associated with an infiltration of mononuclear cells including macrophages, which underlies the debilitating pain experienced in the muscles and joints, which can persist for months to years post infection. A small percentage of infected individuals remain asymptomatic, this is more common in patients under 25 years old. Age over 40 years is a risk factor for chronicity of symptoms. Encephalitis, Guillain-Barre sundrome and arthritis are rare complications of infection with Chikungya virus.","Belize","BZ","BLZ","Americas","Latin America and the Caribbean","Region of the Americas","DON2931"
"38","2025BLZB05","2025","Viral infections characterized by skin and mucous membrane lesions","Measles","Measles","B00-B09","B05","B05","Measles","A disease of the respiratory system, caused by an infection with Morbillivirus. This disease is characterised by a blotchy rash, fever, cough, conjunctivitis, or malaise. This disease may also present with tiny white spots with bluish-white centres inside the mouth. Transmission is by inhalation of infected respiratory secretions, airborne transmission or direct contact. Confirmation is by detection of Morbillivirus RNA or measles-specific IgM antibodies.","Belize","BZ","BLZ","Americas","Latin America and the Caribbean","Region of the Americas","DON2916"
"39","2025BLZU071","2025","Provisional assignment of new diseases of uncertain etiology or emergency use","Emergency use of U07","COVID-19, virus identified","U00-U49","U07","U071","COVID-19","Infectious disease caused by the SARS-CoV-2 virus.","Belize","BZ","BLZ","Americas","Latin America and the Caribbean","Region of the Americas","Coronavirus dashboard"
"40","2025BOLA920","2025","Arthropod-borne viral fevers and viral haemorrhagic fevers","Other mosquito-borne viral fevers","Chikungunya virus disease","A92-A99","A92","A920","Chikungunya mosquito-borne viral fever","Individuals are infected with the virus through a mosquito bite from Aedes mosquitos (Aedes albopictus and A. aegypti). Concomitant fever and arthalgia are a common specific sign although infection can present with non-specific symptoms that can be confused with Dengue including headache, rash and myalgia. Free virions are transported via the blood to the liver (hepatocyte apoptosis), muscle, joints and secondary lymphoid organs (adenopathy), wherein the virus replicates. Viral replication is associated with an infiltration of mononuclear cells including macrophages, which underlies the debilitating pain experienced in the muscles and joints, which can persist for months to years post infection. A small percentage of infected individuals remain asymptomatic, this is more common in patients under 25 years old. Age over 40 years is a risk factor for chronicity of symptoms. Encephalitis, Guillain-Barre sundrome and arthritis are rare complications of infection with Chikungya virus.","Bolivia (Plurinational State of)","BO","BOL","Americas","Latin America and the Caribbean","Region of the Americas","DON2931"
"41","2025BOLA959","2025","Arthropod-borne viral fevers and viral haemorrhagic fevers","Yellow fever","Yellow fever, unspecified","A92-A99","A95","A959","Yellow fever, unspecified","A condition caused by an infection with yellow fever virus. This condition is characterised by fever, chills, headache, myalgia, conjunctival congestion, or relative bradycardia. Severe conditions may also present with increasing fever, jaundice, renal failure, or bleeding. Transmission is through the bite of an infected mosquito. Confirmation is by detection of IgM anti-yellow fever virus antibodies in a serum sample.","Bolivia (Plurinational State of)","BO","BOL","Americas","Latin America and the Caribbean","Region of the Americas","DON2920"
"42","2025BOLA968","2025","Arthropod-borne viral fevers and viral haemorrhagic fevers","Arenaviral haemorrhagic fever","Other arenaviral haemorrhagic fevers","A92-A99","A96","A968","Chapare virus",NA,"Bolivia (Plurinational State of)","BO","BOL","Americas","Latin America and the Caribbean","Region of the Americas","DON2902"
"43","2025BOLJ090","2025","Influenza and pneumonia","Influenza due to identified zoonotic or pandemic influenza virus","Influenza due to identified zoonotic or pandemic influenza virus","J09-J18","J09","J090","Influenza due to identified zoonotic or pandemic influenza virus","Influenza, caused by influenza virus strains of special epidemiological importance with an animal-human or inter-human transmission.","Bolivia (Plurinational State of)","BO","BOL","Americas","Latin America and the Caribbean","Region of the Americas","DON2938"
"44","2025BOLU071","2025","Provisional assignment of new diseases of uncertain etiology or emergency use","Emergency use of U07","COVID-19, virus identified","U00-U49","U07","U071","COVID-19","Infectious disease caused by the SARS-CoV-2 virus.","Bolivia (Plurinational State of)","BO","BOL","Americas","Latin America and the Caribbean","Region of the Americas","Coronavirus dashboard"
"45","2025BRAA959","2025","Arthropod-borne viral fevers and viral haemorrhagic fevers","Yellow fever","Yellow fever, unspecified","A92-A99","A95","A959","Yellow fever, unspecified","A condition caused by an infection with yellow fever virus. This condition is characterised by fever, chills, headache, myalgia, conjunctival congestion, or relative bradycardia. Severe conditions may also present with increasing fever, jaundice, renal failure, or bleeding. Transmission is through the bite of an infected mosquito. Confirmation is by detection of IgM anti-yellow fever virus antibodies in a serum sample.","Brazil","BR","BRA","Americas","Latin America and the Caribbean","Region of the Americas","DON2920"
"46","2025BRAB05","2025","Viral infections characterized by skin and mucous membrane lesions","Measles","Measles","B00-B09","B05","B05","Measles","A disease of the respiratory system, caused by an infection with Morbillivirus. This disease is characterised by a blotchy rash, fever, cough, conjunctivitis, or malaise. This disease may also present with tiny white spots with bluish-white centres inside the mouth. Transmission is by inhalation of infected respiratory secretions, airborne transmission or direct contact. Confirmation is by detection of Morbillivirus RNA or measles-specific IgM antibodies.","Brazil","BR","BRA","Americas","Latin America and the Caribbean","Region of the Americas","DON2916"
"47","2025BRAJ090","2025","Influenza and pneumonia","Influenza due to identified zoonotic or pandemic influenza virus","Influenza due to identified zoonotic or pandemic influenza virus","J09-J18","J09","J090","Influenza due to identified zoonotic or pandemic influenza virus","Influenza, caused by influenza virus strains of special epidemiological importance with an animal-human or inter-human transmission.","Brazil","BR","BRA","Americas","Latin America and the Caribbean","Region of the Americas","DON2938"
"48","2025BRAU071","2025","Provisional assignment of new diseases of uncertain etiology or emergency use","Emergency use of U07","COVID-19, virus identified","U00-U49","U07","U071","COVID-19","Infectious disease caused by the SARS-CoV-2 virus.","Brazil","BR","BRA","Americas","Latin America and the Caribbean","Region of the Americas","Coronavirus dashboard"
"49","2025BRBU071","2025","Provisional assignment of new diseases of uncertain etiology or emergency use","Emergency use of U07","COVID-19, virus identified","U00-U49","U07","U071","COVID-19","Infectious disease caused by the SARS-CoV-2 virus.","Barbados","BB","BRB","Americas","Latin America and the Caribbean","Region of the Americas","Coronavirus dashboard"
"50","2025BRNJ090","2025","Influenza and pneumonia","Influenza due to identified zoonotic or pandemic influenza virus","Influenza due to identified zoonotic or pandemic influenza virus","J09-J18","J09","J090","Influenza due to identified zoonotic or pandemic influenza virus","Influenza, caused by influenza virus strains of special epidemiological importance with an animal-human or inter-human transmission.","Brunei Darussalam","BN","BRN","Asia","South-eastern Asia","Western Pacific Region","DON2938"
"51","2025BRNU071","2025","Provisional assignment of new diseases of uncertain etiology or emergency use","Emergency use of U07","COVID-19, virus identified","U00-U49","U07","U071","COVID-19","Infectious disease caused by the SARS-CoV-2 virus.","Brunei Darussalam","BN","BRN","Asia","South-eastern Asia","Western Pacific Region","Coronavirus dashboard"
"52","2025BTNJ090","2025","Influenza and pneumonia","Influenza due to identified zoonotic or pandemic influenza virus","Influenza due to identified zoonotic or pandemic influenza virus","J09-J18","J09","J090","Influenza due to identified zoonotic or pandemic influenza virus","Influenza, caused by influenza virus strains of special epidemiological importance with an animal-human or inter-human transmission.","Bhutan","BT","BTN","Asia","Southern Asia","South-East Asia Region","DON2938"
"53","2025BTNU071","2025","Provisional assignment of new diseases of uncertain etiology or emergency use","Emergency use of U07","COVID-19, virus identified","U00-U49","U07","U071","COVID-19","Infectious disease caused by the SARS-CoV-2 virus.","Bhutan","BT","BTN","Asia","Southern Asia","South-East Asia Region","Coronavirus dashboard"
"54","2025CAFU071","2025","Provisional assignment of new diseases of uncertain etiology or emergency use","Emergency use of U07","COVID-19, virus identified","U00-U49","U07","U071","COVID-19","Infectious disease caused by the SARS-CoV-2 virus.","Central African Republic","CF","CAF","Africa","Sub-Saharan Africa","African Region","Coronavirus dashboard"
"55","2025CANA920","2025","Arthropod-borne viral fevers and viral haemorrhagic fevers","Other mosquito-borne viral fevers","Chikungunya virus disease","A92-A99","A92","A920","Chikungunya mosquito-borne viral fever","Individuals are infected with the virus through a mosquito bite from Aedes mosquitos (Aedes albopictus and A. aegypti). Concomitant fever and arthalgia are a common specific sign although infection can present with non-specific symptoms that can be confused with Dengue including headache, rash and myalgia. Free virions are transported via the blood to the liver (hepatocyte apoptosis), muscle, joints and secondary lymphoid organs (adenopathy), wherein the virus replicates. Viral replication is associated with an infiltration of mononuclear cells including macrophages, which underlies the debilitating pain experienced in the muscles and joints, which can persist for months to years post infection. A small percentage of infected individuals remain asymptomatic, this is more common in patients under 25 years old. Age over 40 years is a risk factor for chronicity of symptoms. Encephalitis, Guillain-Barre sundrome and arthritis are rare complications of infection with Chikungya virus.","Canada","CA","CAN","Americas","Northern America","Region of the Americas","DON2931"
"56","2025CANB04","2025","Viral infections characterized by skin and mucous membrane lesions","Monkeypox","Monkeypox","B00-B09","B04","B04","Monkeypox","A disease caused by an infection with monkeypox virus. In the first phase, this disease is characterised by lymphadenopathy, fever, headache, or malaise","Canada","CA","CAN","Americas","Northern America","Region of the Americas","DON2936"
"57","2025CANB05","2025","Viral infections characterized by skin and mucous membrane lesions","Measles","Measles","B00-B09","B05","B05","Measles","A disease of the respiratory system, caused by an infection with Morbillivirus. This disease is characterised by a blotchy rash, fever, cough, conjunctivitis, or malaise. This disease may also present with tiny white spots with bluish-white centres inside the mouth. Transmission is by inhalation of infected respiratory secretions, airborne transmission or direct contact. Confirmation is by detection of Morbillivirus RNA or measles-specific IgM antibodies.","Canada","CA","CAN","Americas","Northern America","Region of the Americas","DON2916"
"58","2025CHEJ090","2025","Influenza and pneumonia","Influenza due to identified zoonotic or pandemic influenza virus","Influenza due to identified zoonotic or pandemic influenza virus","J09-J18","J09","J090","Influenza due to identified zoonotic or pandemic influenza virus","Influenza, caused by influenza virus strains of special epidemiological importance with an animal-human or inter-human transmission.","Switzerland","CH","CHE","Europe","Western Europe","European Region","DON2938"
"59","2025CHEU071","2025","Provisional assignment of new diseases of uncertain etiology or emergency use","Emergency use of U07","COVID-19, virus identified","U00-U49","U07","U071","COVID-19","Infectious disease caused by the SARS-CoV-2 virus.","Switzerland","CH","CHE","Europe","Western Europe","European Region","Coronavirus dashboard"
"60","2025CHLA920","2025","Arthropod-borne viral fevers and viral haemorrhagic fevers","Other mosquito-borne viral fevers","Chikungunya virus disease","A92-A99","A92","A920","Chikungunya mosquito-borne viral fever","Individuals are infected with the virus through a mosquito bite from Aedes mosquitos (Aedes albopictus and A. aegypti). Concomitant fever and arthalgia are a common specific sign although infection can present with non-specific symptoms that can be confused with Dengue including headache, rash and myalgia. Free virions are transported via the blood to the liver (hepatocyte apoptosis), muscle, joints and secondary lymphoid organs (adenopathy), wherein the virus replicates. Viral replication is associated with an infiltration of mononuclear cells including macrophages, which underlies the debilitating pain experienced in the muscles and joints, which can persist for months to years post infection. A small percentage of infected individuals remain asymptomatic, this is more common in patients under 25 years old. Age over 40 years is a risk factor for chronicity of symptoms. Encephalitis, Guillain-Barre sundrome and arthritis are rare complications of infection with Chikungya virus.","Chile","CL","CHL","Americas","Latin America and the Caribbean","Region of the Americas","DON2931"
"61","2025CHLJ090","2025","Influenza and pneumonia","Influenza due to identified zoonotic or pandemic influenza virus","Influenza due to identified zoonotic or pandemic influenza virus","J09-J18","J09","J090","Influenza due to identified zoonotic or pandemic influenza virus","Influenza, caused by influenza virus strains of special epidemiological importance with an animal-human or inter-human transmission.","Chile","CL","CHL","Americas","Latin America and the Caribbean","Region of the Americas","DON2938"
"62","2025CHLU071","2025","Provisional assignment of new diseases of uncertain etiology or emergency use","Emergency use of U07","COVID-19, virus identified","U00-U49","U07","U071","COVID-19","Infectious disease caused by the SARS-CoV-2 virus.","Chile","CL","CHL","Americas","Latin America and the Caribbean","Region of the Americas","Coronavirus dashboard"
"63","2025CHNA920","2025","Arthropod-borne viral fevers and viral haemorrhagic fevers","Other mosquito-borne viral fevers","Chikungunya virus disease","A92-A99","A92","A920","Chikungunya mosquito-borne viral fever","Individuals are infected with the virus through a mosquito bite from Aedes mosquitos (Aedes albopictus and A. aegypti). Concomitant fever and arthalgia are a common specific sign although infection can present with non-specific symptoms that can be confused with Dengue including headache, rash and myalgia. Free virions are transported via the blood to the liver (hepatocyte apoptosis), muscle, joints and secondary lymphoid organs (adenopathy), wherein the virus replicates. Viral replication is associated with an infiltration of mononuclear cells including macrophages, which underlies the debilitating pain experienced in the muscles and joints, which can persist for months to years post infection. A small percentage of infected individuals remain asymptomatic, this is more common in patients under 25 years old. Age over 40 years is a risk factor for chronicity of symptoms. Encephalitis, Guillain-Barre sundrome and arthritis are rare complications of infection with Chikungya virus.","China","CN","CHN","Asia","Eastern Asia","Western Pacific Region","DON2931"
"64","2025CHNB04","2025","Viral infections characterized by skin and mucous membrane lesions","Monkeypox","Monkeypox","B00-B09","B04","B04","Monkeypox","A disease caused by an infection with monkeypox virus. In the first phase, this disease is characterised by lymphadenopathy, fever, headache, or malaise","China","CN","CHN","Asia","Eastern Asia","Western Pacific Region","DON2936"
"65","2025CHNJ101","2025","Influenza and pneumonia","Influenza due to identified seasonal influenza virus","Influenza with other manifestations, seasonal influenza virus identified","J09-J18","J10","J101","Influenza with other manifestations, seasonal influenza virus identified","Influenza due to infection with seasonal influenza virus strains, virus identified. These diseases are characterized by fever, cough, headache, myalgia, arthralgia, or malaise. Transmission is by inhalation of infected respiratory secretions. Confirmation is by identification of the specified influenza virus in a nasopharyngeal, nose, or throat swab.","China","CN","CHN","Asia","Eastern Asia","Western Pacific Region","DON2900"
